Weight	Group
 76.44103	Grupo 2
 69.25948	Grupo 2
 61.82844	Grupo 2
 76.20195	Grupo 2
 71.00959	Grupo 2
 64.29619	Grupo 2
 77.64101	Grupo 2
 73.84479	Grupo 2
 61.46269	Grupo 2
 67.22959	Grupo 2
 78.45180	Grupo 2
 71.52198	Grupo 2
 71.12362	Grupo 2
 70.71162	Grupo 2
 66.09589	Grupo 2
 69.55674	Grupo 2
 67.42492	Grupo 2
 61.32901	Grupo 2
 84.71004	Grupo 2
 59.35111	Grupo 2
 71.81532	Grupo 2
 78.88253	Grupo 2
 80.55406	Grupo 2
 72.09338	Grupo 2
 60.84449	Grupo 2
 69.26214	Grupo 2
 70.95307	Grupo 2
 73.94863	Grupo 2
 70.84740	Grupo 2
 70.04736	Grupo 2
 77.00465	Grupo 2
 64.20280	Grupo 2
 70.52740	Grupo 2
 72.23580	Grupo 2
 70.30635	Grupo 2
 73.85537	Grupo 2
 63.46842	Grupo 2
 71.55005	Grupo 2
 76.91536	Grupo 2
 67.95931	Grupo 2
 67.46876	Grupo 2
 72.85655	Grupo 2
 68.19556	Grupo 2
 75.64152	Grupo 2
 61.33369	Grupo 2
 66.13137	Grupo 2
 75.53459	Grupo 2
 74.72881	Grupo 2
 77.76970	Grupo 2
 72.62453	Grupo 2
 61.77881	Grupo 2
 72.81865	Grupo 2
 83.61184	Grupo 2
 65.61744	Grupo 2
 71.70281	Grupo 2
 70.37080	Grupo 2
 64.10026	Grupo 2
 65.19349	Grupo 2
 69.15764	Grupo 2
 70.83526	Grupo 2
 70.02046	Grupo 2
 71.08550	Grupo 2
 71.94166	Grupo 2
 73.76781	Grupo 2
 66.20942	Grupo 2
 72.23653	Grupo 2
 75.84131	Grupo 2
 67.74860	Grupo 2
 69.04712	Grupo 2
 62.66672	Grupo 2
 68.00322	Grupo 2
 71.35661	Grupo 2
 67.92959	Grupo 2
 63.38161	Grupo 2
 68.01821	Grupo 2
 75.97187	Grupo 2
 61.44667	Grupo 2
 70.94835	Grupo 2
 74.35324	Grupo 2
 64.30971	Grupo 2
 75.68054	Grupo 2
 66.42512	Grupo 2
 76.27227	Grupo 2
 61.55411	Grupo 2
 66.45667	Grupo 2
 78.82515	Grupo 2
 66.11034	Grupo 2
 68.67467	Grupo 2
 75.94628	Grupo 2
 74.39378	Grupo 2
 72.77630	Grupo 2
 67.22345	Grupo 2
 72.16216	Grupo 2
 77.03907	Grupo 2
 63.57204	Grupo 2
 74.58805	Grupo 2
 78.82659	Grupo 2
 74.29897	Grupo 2
 69.40740	Grupo 2
 77.20880	Grupo 2
 72.57719	Grupo 2
 72.86812	Grupo 2
 72.11492	Grupo 2
 79.84081	Grupo 2
 74.09459	Grupo 2
 74.45922	Grupo 2
 79.49065	Grupo 2
 72.83807	Grupo 2
 69.96743	Grupo 2
 63.05169	Grupo 2
 68.71237	Grupo 2
 72.00973	Grupo 2
 71.96866	Grupo 2
 73.13164	Grupo 2
 68.70975	Grupo 2
 74.04752	Grupo 2
 62.79878	Grupo 2
 75.78519	Grupo 2
 71.50944	Grupo 2
 78.10280	Grupo 2
 71.48194	Grupo 2
 68.81004	Grupo 2
 75.34631	Grupo 2
 70.80994	Grupo 2
 61.97276	Grupo 2
 64.22399	Grupo 2
 72.60920	Grupo 2
 71.30278	Grupo 2
 73.54538	Grupo 2
 72.33739	Grupo 2
 63.02031	Grupo 2
 72.74572	Grupo 2
 70.31417	Grupo 2
 65.31908	Grupo 2
 66.99437	Grupo 2
 63.19804	Grupo 2
 66.66398	Grupo 2
 78.33904	Grupo 2
 74.03470	Grupo 2
 66.44705	Grupo 2
 83.54124	Grupo 2
 79.72041	Grupo 2
 69.41476	Grupo 2
 63.05741	Grupo 2
 70.75567	Grupo 2
